id;kode_pwk;nama_provinsi;nama_pemda
1;PW01;Provinsi Aceh;Provinsi Aceh
2;PW01;Provinsi Aceh;Kab Aceh Besar
3;PW01;Provinsi Aceh;Kab Pidie
4;PW01;Provinsi Aceh;Kab Pidie Jaya
5;PW01;Provinsi Aceh;Kab Bireuen
6;PW01;Provinsi Aceh;Kab Bener Meriah
7;PW01;Provinsi Aceh;Kab Aceh Tengah
8;PW01;Provinsi Aceh;Kab Aceh Utara
9;PW01;Provinsi Aceh;Kab Aceh Timur
10;PW01;Provinsi Aceh;Kab Aceh Tamiang
11;PW01;Provinsi Aceh;Kab Aceh Jaya
12;PW01;Provinsi Aceh;Kab Nagan Raya
13;PW01;Provinsi Aceh;Kab Aceh Barat
14;PW01;Provinsi Aceh;Kab Aceh Barat Daya
15;PW01;Provinsi Aceh;Kab Aceh Tenggara
16;PW01;Provinsi Aceh;Kab Gayo Lues
17;PW01;Provinsi Aceh;Kab Aceh Singkil
18;PW01;Provinsi Aceh;Kab Aceh Selatan
19;PW01;Provinsi Aceh;Kab Simeulue
20;PW01;Provinsi Aceh;Kota Sabang
21;PW01;Provinsi Aceh;Kota Banda Aceh
22;PW01;Provinsi Aceh;Kota Lhokseumawe
23;PW01;Provinsi Aceh;Kota Langsa
24;PW01;Provinsi Aceh;Kota Subulussalam
25;PW02;Provinsi Sumatera Utara;Provinsi Sumatera Utara
26;PW02;Provinsi Sumatera Utara;Kab Asahan
27;PW02;Provinsi Sumatera Utara;kab Batu Bara
28;PW02;Provinsi Sumatera Utara;Kab Dairi
29;PW02;Provinsi Sumatera Utara;Kab Deli Serdang
30;PW02;Provinsi Sumatera Utara;Kab Humbang Hasundutan
31;PW02;Provinsi Sumatera Utara;Kab Karo
32;PW02;Provinsi Sumatera Utara;Kab Labuhanbatu
33;PW02;Provinsi Sumatera Utara;Kab Labuhanbatu Selatan
34;PW02;Provinsi Sumatera Utara;Kab Labuhanbatu Utara
35;PW02;Provinsi Sumatera Utara;Kab Langkat
36;PW02;Provinsi Sumatera Utara;Kab Serdang Bedagai
37;PW02;Provinsi Sumatera Utara;Kab Simalungun
38;PW02;Provinsi Sumatera Utara;Kab Tapanuli Selatan
39;PW02;Provinsi Sumatera Utara;Kab Tapanuli Tengah
40;PW02;Provinsi Sumatera Utara;Kab Tapanuli Utara
41;PW02;Provinsi Sumatera Utara;Kab Mandailing Natal
42;PW02;Provinsi Sumatera Utara;Kab Nias
43;PW02;Provinsi Sumatera Utara;Kab Nias Barat
44;PW02;Provinsi Sumatera Utara;Kab Nias Selatan
45;PW02;Provinsi Sumatera Utara;Kab Nias Utara
46;PW02;Provinsi Sumatera Utara;Kab Padang Lawas
47;PW02;Provinsi Sumatera Utara;Kab Padang Lawas Utara
48;PW02;Provinsi Sumatera Utara;Kab Pakpak Bharat
49;PW02;Provinsi Sumatera Utara;Kab Samosir
50;PW02;Provinsi Sumatera Utara;Kab Toba Samosir
51;PW02;Provinsi Sumatera Utara;Kota Binjai
52;PW02;Provinsi Sumatera Utara;Kota Gunungsitoli
53;PW02;Provinsi Sumatera Utara;Kota Medan
54;PW02;Provinsi Sumatera Utara;Kota Padang Sidempuan
55;PW02;Provinsi Sumatera Utara;Kota Pematang Siantar
56;PW02;Provinsi Sumatera Utara;Kota Sibolga
57;PW02;Provinsi Sumatera Utara;Kota Tanjung Balai
58;PW02;Provinsi Sumatera Utara;Kota Tebing Tinggi
59;PW03;Provinsi Sumatera Barat;Provinsi Sumatera Barat
60;PW03;Provinsi Sumatera Barat;Kab Agam
61;PW03;Provinsi Sumatera Barat;Kab Dharmasraya
